listing_id,title,make,model,year,engine_cc,price_pkr,price_display,mileage_km,fuel_type,transmission,location,hero_image,image_db,listing_url,updated_at,scraped_at
11459798,Changan Oshan X7  2022 FutureSense,Changan,Oshan X7   FutureSense,2022,1500cc,7050000,PKR 70.5lacs,43000,Petrol,Automatic,Faisalabad,https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-futuresense-2022-143204735.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-futuresense-2022-143204735.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/changan-oshan-x7-futuresense-2022-143204747.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/changan-oshan-x7-futuresense-2022-143204740.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-futuresense-2022-143204745.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/changan-oshan-x7-futuresense-2022-143204739.jpg']",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-faisalabad-11459798,Updated 1 minute ago,2026-05-08T14:57:59.643084
11459797,Suzuki Swift  2023 GLX CVT,Suzuki,Swift   GLX CVT,2023,1200cc,4420000,PKR 44.2lacs,66700,Petrol,Automatic,Peshawar,https://cache2.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2023-143204799.jpg,"['https://cache2.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2023-143204799.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2023-143204808.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2023-143204844.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2023-143204857.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2023-143204859.jpg']",https://www.pakwheels.com/used-cars/suzuki-swift-2023-for-sale-in-peshawar-11459797,Updated 1 minute ago,2026-05-08T14:57:59.644340
11459781,Suzuki Swift  2026 GLX CVT,Suzuki,Swift   GLX CVT,2026,1200cc,3425000,PKR 34.25lacs,350,Petrol,Automatic,Bahawalpur,https://cache1.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2026-143204738.jpg,['https://cache1.pakwheels.com/ad_pictures/1432/suzuki-swift-glx-cvt-2026-143204738.jpg'],https://www.pakwheels.com/used-cars/suzuki-swift-2026-for-sale-in-bahawalpur-11459781,Updated 1 minute ago,2026-05-08T14:57:59.645662
11459792,Suzuki Cultus  2006 VXR,Suzuki,Cultus   VXR,2006,1000cc,850000,PKR 8.5lacs,850000,Petrol,Manual,Lahore,https://cache3.pakwheels.com/ad_pictures/1432/suzuki-cultus-vxr-2006-143205106.jpg,"['https://cache3.pakwheels.com/ad_pictures/1432/suzuki-cultus-vxr-2006-143205106.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-cultus-vxr-2006-143205112.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/suzuki-cultus-vxr-2006-143205127.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/suzuki-cultus-vxr-2006-143205156.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/suzuki-cultus-vxr-2006-143205167.jpg']",https://www.pakwheels.com/used-cars/suzuki-cultus-2006-for-sale-in-lahore-11459792,Updated 2 minutes ago,2026-05-08T14:57:59.646882
11459791,Suzuki Alto  2022 VXL AGS,Suzuki,Alto   VXL AGS,2022,660cc,2795000,PKR 27.95lacs,63000,Petrol,Automatic,Karachi,https://cache1.pakwheels.com/ad_pictures/1432/suzuki-alto-vxl-2-2022-143205230.jpg,"['https://cache1.pakwheels.com/ad_pictures/1432/suzuki-alto-vxl-2-2022-143205230.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-alto-vxl-2-2022-143205231.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/suzuki-alto-vxl-2-2022-143205227.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-alto-vxl-2-2022-143205226.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/suzuki-alto-vxl-2-2022-143205228.jpg']",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-11459791,Updated 2 minutes ago,2026-05-08T14:57:59.648071
11459789,Toyota Vitz  2012 F 1.0,Toyota,Vitz   F 1.0,2012,1000cc,2495000,PKR 24.95lacs,81500,Petrol,Automatic,Karachi,https://cache3.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-f-2012-143205172.jpg,"['https://cache3.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-f-2012-143205172.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-f-2012-143205180.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-f-2012-143205182.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-f-2012-143205185.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-f-2012-143205188.jpg']",https://www.pakwheels.com/used-cars/toyota-vitz-2012-for-sale-in-karachi-11459789,Updated 2 minutes ago,2026-05-08T14:57:59.649122
11459787,Suzuki Mehran  2017 VXR Euro II,Suzuki,Mehran   VXR Euro II,2017,796cc,1150000,PKR 11.5lacs,97000,Petrol,Manual,Multan,https://cache2.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205065.jpg,"['https://cache2.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205065.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205066.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205067.jpg']",https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-multan-11459787,Updated 2 minutes ago,2026-05-08T14:57:59.650079
11459786,Honda Civic 6th Generation 1997 EXi,Honda,Civic 6th Generation  EXi,1997,1500cc,1090000,PKR 10.9lacs,153000,Petrol,Manual,Abbottabad,https://cache1.pakwheels.com/ad_pictures/1432/honda-civic-exi-3-1997-143204151.jpg,"['https://cache1.pakwheels.com/ad_pictures/1432/honda-civic-exi-3-1997-143204151.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/honda-civic-exi-3-1997-143204164.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/honda-civic-exi-3-1997-143204165.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/honda-civic-exi-3-1997-143204179.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/honda-civic-exi-3-1997-143204184.jpg']",https://www.pakwheels.com/used-cars/honda-civic-1997-for-sale-in-abbottabad-11459786,Updated 3 minutes ago,2026-05-08T14:57:59.650992
11459780,Suzuki Alto  2022 VX,Suzuki,Alto   VX,2022,660cc,2390000,PKR 23.9lacs,62000,Petrol,Manual,Lahore,https://cache4.pakwheels.com/ad_pictures/1432/suzuki-alto-vx-14-2022-143204867.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/suzuki-alto-vx-14-2022-143204867.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/suzuki-alto-vx-14-2022-143204872.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/suzuki-alto-vx-14-2022-143204876.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/suzuki-alto-vx-14-2022-143204881.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/suzuki-alto-vx-14-2022-143204883.jpg']",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11459780,Updated 3 minutes ago,2026-05-08T14:57:59.651822
11447002,Honda Civic Reborn 2011 VTi 1.8 i-VTEC,Honda,Civic Reborn  VTi 1.8 i-VTEC,2011,1800cc,2450000,PKR 24.5lacs,160000,Petrol,Manual,Lahore,https://cache2.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-2011-143004038.jpg,"['https://cache2.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-2011-143004038.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-2011-143004055.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-2011-143004054.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-2011-143004056.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-2011-143004039.jpg']",https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-lahore-11447002,Updated 3 minutes ago,2026-05-08T14:57:59.652672
11292855,Audi A3  2016 1.2 TFSI Exclusive Line,Audi,A3   1.2 TFSI Exclusive Line,2016,1200cc,6680000,PKR 66.8lacs,140000,Petrol,Automatic,Gujranwala,https://cache2.pakwheels.com/ad_pictures/1405/audi-a3-1-2-tfsi-exclusive-line-2016-140585574.jpg,"['https://cache2.pakwheels.com/ad_pictures/1405/audi-a3-1-2-tfsi-exclusive-line-2016-140585574.jpg', 'https://cache2.pakwheels.com/ad_pictures/1405/audi-a3-1-2-tfsi-exclusive-line-2016-140585568.jpg', 'https://cache4.pakwheels.com/ad_pictures/1405/audi-a3-1-2-tfsi-exclusive-line-2016-140585576.jpg', 'https://cache4.pakwheels.com/ad_pictures/1405/audi-a3-1-2-tfsi-exclusive-line-2016-140585566.jpg', 'https://cache1.pakwheels.com/ad_pictures/1405/audi-a3-1-2-tfsi-exclusive-line-2016-140585567.jpg']",https://www.pakwheels.com/used-cars/audi-a3-2016-for-sale-in-gujranwala-11292855,Updated 3 minutes ago,2026-05-08T14:57:59.653561
11459782,Toyota Corolla  2016 GLi Automatic 1.3 VVTi,Toyota,Corolla   GLi Automatic 1.3 VVTi,2016,1300cc,3950000,PKR 39.5lacs,170,Petrol,Automatic,Abbottabad,https://cache4.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2016-143205056.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2016-143205056.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2016-143205057.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2016-143205055.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2016-143205058.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2016-143205054.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-abbottabad-11459782,Updated 3 minutes ago,2026-05-08T14:57:59.654430
11459775,Honda N One  2015 Premium,Honda,N One   Premium,2015,660cc,2475000,PKR 24.75lacs,112000,Petrol,Automatic,Rawalpindi,https://cache3.pakwheels.com/ad_pictures/1432/honda-none-premium-2-2015-143204425.jpg,"['https://cache3.pakwheels.com/ad_pictures/1432/honda-none-premium-2-2015-143204425.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/honda-none-premium-2-2015-143204430.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/honda-none-premium-2-2015-143204424.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/honda-none-premium-2-2015-143204429.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/honda-none-premium-2-2015-143204426.jpg']",https://www.pakwheels.com/used-cars/honda-n-one-2015-for-sale-in-rawalpindi-11459775,Updated 3 minutes ago,2026-05-08T14:57:59.655259
