listing_id,title,make,model,year,engine_cc,price_pkr,price_display,mileage_km,fuel_type,transmission,location,hero_image,image_db,listing_url,updated_at,scraped_at
11459476,Toyota Corolla  2010 Altis Cruisetronic 1.8,Toyota,Corolla   Altis Cruisetronic 1.8,2010,1800cc,2570000,PKR 25.7lacs,252000,Petrol,Automatic,Islamabad,https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-1-8-cruisetronic-2010-143200502.jpg,"['https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-1-8-cruisetronic-2010-143200502.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-1-8-cruisetronic-2010-143200503.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-1-8-cruisetronic-2010-143200504.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/toyota-corolla-1-8-cruisetronic-2010-143200505.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/toyota-corolla-1-8-cruisetronic-2010-143200506.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-islamabad-11459476,Updated less than a minute ago,2026-05-08T15:03:11.246060
11296931,KIA Sportage  2023 AWD,,KIA Sportage  2023 AWD,,,,Call,,,,Lahore,https://cache4.pakwheels.com/ad_pictures/1428/kia-sportage-awd-2023-142873379.jpg,"['https://cache4.pakwheels.com/ad_pictures/1428/kia-sportage-awd-2023-142873379.jpg', 'https://cache3.pakwheels.com/ad_pictures/1428/kia-sportage-awd-2023-142873380.jpg', 'https://cache1.pakwheels.com/ad_pictures/1428/kia-sportage-awd-2023-142873375.jpg', 'https://cache2.pakwheels.com/ad_pictures/1428/kia-sportage-awd-2023-142873378.jpg', 'https://cache4.pakwheels.com/ad_pictures/1428/kia-sportage-awd-2023-142873385.jpg']",https://www.pakwheels.com/used-cars/kia-sportage-2023-for-sale-in-lahore-11296931,Updated 1 minute ago,2026-05-08T15:03:11.247120
11454563,Hyundai Tucson  2021 AWD A/T Ultimate,Hyundai,Tucson   AWD A/T Ultimate,2021,2000cc,6950000,PKR 69.5lacs,31271,Petrol,Automatic,Karachi,https://cache3.pakwheels.com/ad_pictures/1431/hyundai-tucson-fwd-a-t-gls-sport-2021-143125279.jpg,"['https://cache3.pakwheels.com/ad_pictures/1431/hyundai-tucson-fwd-a-t-gls-sport-2021-143125279.jpg', 'https://cache1.pakwheels.com/ad_pictures/1431/hyundai-tucson-fwd-a-t-gls-sport-2021-143125280.jpg', 'https://cache3.pakwheels.com/ad_pictures/1431/hyundai-tucson-fwd-a-t-gls-sport-2021-143125294.jpg', 'https://cache1.pakwheels.com/ad_pictures/1431/hyundai-tucson-fwd-a-t-gls-sport-2021-143125283.jpg', 'https://cache4.pakwheels.com/ad_pictures/1431/hyundai-tucson-fwd-a-t-gls-sport-2021-143125292.jpg']",https://www.pakwheels.com/used-cars/hyundai-tucson-2021-for-sale-in-karachi-11454563,Updated 1 minute ago,2026-05-08T15:03:11.248386
11359823,Haval H6  2024 HEV,,Haval H6  2024 HEV,,,,Call,,,,Islamabad,https://cache2.pakwheels.com/ad_pictures/1416/haval-h6-hev-2024-141675106.jpg,"['https://cache2.pakwheels.com/ad_pictures/1416/haval-h6-hev-2024-141675106.jpg', 'https://cache1.pakwheels.com/ad_pictures/1416/haval-h6-hev-2024-141675108.jpg', 'https://cache2.pakwheels.com/ad_pictures/1416/haval-h6-hev-2024-141675110.jpg', 'https://cache3.pakwheels.com/ad_pictures/1416/haval-h6-hev-2024-141675111.jpg', 'https://cache3.pakwheels.com/ad_pictures/1416/haval-h6-hev-2024-141675113.jpg']",https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-islamabad-11359823,Updated 1 minute ago,2026-05-08T15:03:11.249537
11451570,Toyota Yaris Sedan  2020 ATIV CVT 1.3,Toyota,Yaris Sedan   ATIV CVT 1.3,2020,1300cc,4150000,PKR 41.5lacs,83000,Petrol,Automatic,Lahore,https://cache1.pakwheels.com/ad_pictures/1430/toyota-yaris-ativ-cvt-1-3-2020-143077937.jpg,"['https://cache1.pakwheels.com/ad_pictures/1430/toyota-yaris-ativ-cvt-1-3-2020-143077937.jpg', 'https://cache4.pakwheels.com/ad_pictures/1430/toyota-yaris-ativ-cvt-1-3-2020-143077942.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/toyota-yaris-ativ-cvt-1-3-2020-143077941.jpg', 'https://cache4.pakwheels.com/ad_pictures/1430/toyota-yaris-ativ-cvt-1-3-2020-143077938.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/toyota-yaris-ativ-cvt-1-3-2020-143077939.jpg']",https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2020-for-sale-in-lahore-11451570,Updated 2 minutes ago,2026-05-08T15:03:11.251167
11403751,Honda Civic  2018 Oriel 1.8 i-VTEC CVT,Honda,Civic   Oriel 1.8 i-VTEC CVT,2018,1800cc,5095000,PKR 50.95lacs,118000,Petrol,Automatic,Lahore,https://cache3.pakwheels.com/ad_pictures/1423/honda-civic-oriel-1-8-i-vtec-cvt-2018-142331477.jpg,"['https://cache3.pakwheels.com/ad_pictures/1423/honda-civic-oriel-1-8-i-vtec-cvt-2018-142331477.jpg', 'https://cache1.pakwheels.com/ad_pictures/1423/honda-civic-oriel-1-8-i-vtec-cvt-2018-142331472.jpg', 'https://cache4.pakwheels.com/ad_pictures/1423/honda-civic-oriel-1-8-i-vtec-cvt-2018-142331471.jpg', 'https://cache4.pakwheels.com/ad_pictures/1423/honda-civic-oriel-1-8-i-vtec-cvt-2018-142331481.jpg', 'https://cache3.pakwheels.com/ad_pictures/1423/honda-civic-oriel-1-8-i-vtec-cvt-2018-142331476.jpg']",https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11403751,Updated 3 minutes ago,2026-05-08T15:03:11.252865
11368630,Honda Civic 11th Generation 2022 Oriel,Honda,Civic 11th Generation  Oriel,2022,1500cc,7300000,PKR 73lacs,45400,Petrol,Automatic,Karachi,https://cache4.pakwheels.com/ad_pictures/1426/honda-civic-oriel-2022-142654489.jpg,"['https://cache4.pakwheels.com/ad_pictures/1426/honda-civic-oriel-2022-142654489.jpg', 'https://cache4.pakwheels.com/ad_pictures/1426/honda-civic-oriel-2022-142654487.jpg', 'https://cache4.pakwheels.com/ad_pictures/1426/honda-civic-oriel-2022-142654490.jpg', 'https://cache3.pakwheels.com/ad_pictures/1426/honda-civic-oriel-2022-142654488.jpg', 'https://cache1.pakwheels.com/ad_pictures/1418/honda-civic-oriel-2022-141814435.jpg']",https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-11368630,Updated 3 minutes ago,2026-05-08T15:03:11.254389
11459784,Hyundai Sonata  2021 2.5,Hyundai,Sonata   2.5,2021,2500cc,8200000,PKR 82lacs,804024,Petrol,Automatic,Islamabad,https://cache4.pakwheels.com/ad_pictures/1432/hyundai-sonata-2-5-2-2021-143205131.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/hyundai-sonata-2-5-2-2021-143205131.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/hyundai-sonata-2-5-2-2021-143205135.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/hyundai-sonata-2-5-2-2021-143205148.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/hyundai-sonata-2-5-2-2021-143205139.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/hyundai-sonata-2-5-2-2021-143205142.jpg']",https://www.pakwheels.com/used-cars/hyundai-sonata-2021-for-sale-in-islamabad-11459784,Updated 4 minutes ago,2026-05-08T15:03:11.255899
11335226,Toyota Land Cruiser  2012 ZX,,Toyota Land Cruiser  2012 ZX,,,,Call,,,,Islamabad,https://cache3.pakwheels.com/ad_pictures/1412/toyota-land-cruiser-zx-2-2012-141275919.jpg,"['https://cache3.pakwheels.com/ad_pictures/1412/toyota-land-cruiser-zx-2-2012-141275919.jpg', 'https://cache4.pakwheels.com/ad_pictures/1412/toyota-land-cruiser-zx-2-2012-141275921.jpg', 'https://cache1.pakwheels.com/ad_pictures/1412/toyota-land-cruiser-zx-2-2012-141275922.jpg', 'https://cache2.pakwheels.com/ad_pictures/1412/toyota-land-cruiser-zx-2-2012-141275924.jpg', 'https://cache1.pakwheels.com/ad_pictures/1412/toyota-land-cruiser-zx-2-2012-141275927.jpg']",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2012-for-sale-in-islamabad-11335226,Updated 5 minutes ago,2026-05-08T15:03:11.257151
11443234,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC,Honda,City 5th (GM2) Generation  1.3 i-VTEC,2015,1300cc,3150000,PKR 31.5lacs,116050,Petrol,Manual,Peshawar,https://cache1.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944663.jpg,"['https://cache1.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944663.jpg', 'https://cache4.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944664.jpg', 'https://cache4.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944668.jpg', 'https://cache1.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944665.jpg', 'https://cache1.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944667.jpg']",https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-peshawar-11443234,Updated 5 minutes ago,2026-05-08T15:03:11.258396
11459788,Nissan Clipper  2020 Rio G 4WD,Nissan,Clipper   Rio G 4WD,2020,660cc,3775000,PKR 37.75lacs,85000,Petrol,Automatic,Rawalpindi,https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204372.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204372.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204373.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204374.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204375.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204376.jpg']",https://www.pakwheels.com/used-cars/nissan-clipper-2020-for-sale-in-rawalpindi-11459788,Updated 6 minutes ago,2026-05-08T15:03:11.259340
11231678,MG HS  2021 Trophy,MG,HS   Trophy,2021,1500cc,6275000,PKR 62.75lacs,48000,Petrol,Automatic,Islamabad,https://cache1.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606672.jpg,"['https://cache1.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606672.jpg', 'https://cache4.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606676.jpg', 'https://cache4.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606675.jpg', 'https://cache2.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606674.jpg', 'https://cache3.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606673.jpg']",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-11231678,Updated 6 minutes ago,2026-05-08T15:03:11.260235
11459779,Daihatsu Mira  2016 X Limited Smart Drive Package,Daihatsu,Mira   X Limited Smart Drive Package,2016,660cc,2875000,PKR 28.75lacs,82358,Petrol,Automatic,Islamabad,https://cache2.pakwheels.com/ad_pictures/1432/daihatsu-mira-x-limited-smart-drive-package-2016-143205007.jpg,"['https://cache2.pakwheels.com/ad_pictures/1432/daihatsu-mira-x-limited-smart-drive-package-2016-143205007.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/daihatsu-mira-x-limited-smart-drive-package-2016-143205004.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/daihatsu-mira-x-limited-smart-drive-package-2016-143204995.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/daihatsu-mira-x-limited-smart-drive-package-2016-143205002.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/daihatsu-mira-x-limited-smart-drive-package-2016-143204993.jpg']",https://www.pakwheels.com/used-cars/daihatsu-mira-2016-for-sale-in-islamabad-11459779,Updated less than a minute ago,2026-05-08T15:03:11.261250
11459823,Toyota Corolla  1994,Toyota,Corolla,1994,1500cc,1400000,PKR 14lacs,100000,Petrol,Automatic,Quetta,https://cache1.pakwheels.com/ad_pictures/1432/toyota-corolla-1994-143205218.jpg,"['https://cache1.pakwheels.com/ad_pictures/1432/toyota-corolla-1994-143205218.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/toyota-corolla-1994-143205219.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-1994-143205220.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-1994-143205222.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-1994-143205223.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-1994-for-sale-in-quetta-11459823,Updated less than a minute ago,2026-05-08T15:03:11.262282
11459822,Suzuki Mehran  2017 VXR Euro II,Suzuki,Mehran   VXR Euro II,2017,796cc,1300000,PKR 13lacs,80000,Petrol,Manual,Gujranwala,https://cache4.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205461.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205461.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205463.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205467.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205462.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/suzuki-mehran-vxr-euro-ii-2017-143205459.jpg']",https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-gujranwala-11459822,Updated 1 minute ago,2026-05-08T15:03:11.263249
11455281,BYD Atto 3  2025 Advance,BYD,Atto 3   Advance,2025,cc,9250000,PKR 92.5lacs,11000,Electric,Automatic,Karachi,https://cache3.pakwheels.com/ad_pictures/1431/byd-atto-3-advance-2025-143136916.jpg,"['https://cache3.pakwheels.com/ad_pictures/1431/byd-atto-3-advance-2025-143136916.jpg', 'https://cache4.pakwheels.com/ad_pictures/1431/byd-atto-3-advance-2025-143136914.jpg', 'https://cache2.pakwheels.com/ad_pictures/1431/byd-atto-3-advance-2025-143136913.jpg', 'https://cache3.pakwheels.com/ad_pictures/1431/byd-atto-3-advance-2025-143136918.jpg', 'https://cache1.pakwheels.com/ad_pictures/1431/byd-atto-3-advance-2025-143136917.jpg']",https://www.pakwheels.com/used-cars/byd-atto-3-2025-for-sale-in-karachi-11455281,Updated 1 minute ago,2026-05-08T15:03:11.264144
