listing_id,title,make,model,year,engine_cc,price_pkr,price_display,mileage_km,fuel_type,transmission,location,hero_image,image_db,listing_url,updated_at,scraped_at
11451900,Toyota Vitz  2014 F Limited 1.0,Toyota,Vitz   F Limited 1.0,2014,1000cc,3100000,PKR 31lacs,107500,Petrol,Automatic,Lahore,https://cache3.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-limited-2014-143083407.jpg,"['https://cache3.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-limited-2014-143083407.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-limited-2014-143083405.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-limited-2014-143083409.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-limited-2014-143083406.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-limited-2014-143083408.jpg']",https://www.pakwheels.com/used-cars/toyota-vitz-2014-for-sale-in-lahore-11451900,Updated less than a minute ago,2026-05-08T15:07:13.398604
11394219,KIA Sportage  2021 FWD,KIA,Sportage   FWD,2021,2000cc,5850000,PKR 58.5lacs,66000,Petrol,Automatic,Karachi,https://cache2.pakwheels.com/ad_pictures/1421/kia-sportage-fwd-2021-142197060.jpg,"['https://cache2.pakwheels.com/ad_pictures/1421/kia-sportage-fwd-2021-142197060.jpg', 'https://cache4.pakwheels.com/ad_pictures/1421/kia-sportage-fwd-2021-142197069.jpg', 'https://cache1.pakwheels.com/ad_pictures/1421/kia-sportage-fwd-2021-142197065.jpg', 'https://cache2.pakwheels.com/ad_pictures/1421/kia-sportage-fwd-2021-142197061.jpg', 'https://cache1.pakwheels.com/ad_pictures/1421/kia-sportage-fwd-2021-142197064.jpg']",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-karachi-11394219,Updated less than a minute ago,2026-05-08T15:07:13.399662
11459852,Toyota Corolla  2017 Altis Automatic 1.6,Toyota,Corolla   Altis Automatic 1.6,2017,1600cc,4450000,PKR 44.5lacs,23000,Petrol,Automatic,Karachi,https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-altis-1-6-automatic-2017-143205961.jpg,"['https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-altis-1-6-automatic-2017-143205961.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/toyota-corolla-altis-1-6-automatic-2017-143205962.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-altis-1-6-automatic-2017-143205964.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/toyota-corolla-altis-1-6-automatic-2017-143205968.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-altis-1-6-automatic-2017-143205967.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-11459852,Updated 1 minute ago,2026-05-08T15:07:13.400651
11451673,Honda Civic Reborn 2009 VTi Oriel Prosmatec 1.8 i-VTEC,Honda,Civic Reborn  VTi Oriel Prosmatec 1.8 i-VTEC,2009,1800cc,2540000,PKR 25.4lacs,172000,Petrol,Automatic,Lahore,https://cache3.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-143079222.jpg,"['https://cache3.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-143079222.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-143079229.jpg', 'https://cache4.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-143079225.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-143079228.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-143079218.jpg']",https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-lahore-11451673,Updated 1 minute ago,2026-05-08T15:07:13.401664
11459840,Changan Oshan X7  2026 Comfort,Changan,Oshan X7   Comfort,2026,1500cc,7949000,PKR 79.49lacs,1,Petrol,Automatic,Islamabad,https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-comfort-2-2026-143206049.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-comfort-2-2026-143206049.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-comfort-2-2026-143206050.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/changan-oshan-x7-comfort-2-2026-143206051.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/changan-oshan-x7-comfort-2-2026-143206052.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/changan-oshan-x7-comfort-2-2026-143206053.jpg']",https://www.pakwheels.com/used-cars/changan-oshan-x7-2026-for-sale-in-islamabad-11459840,Updated 1 minute ago,2026-05-08T15:07:13.402585
11333479,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior,Toyota,Corolla   Altis Grande X CVT-i 1.8 Black Interior,2021,1800cc,6350000,PKR 63.5lacs,63000,Petrol,Automatic,Karachi,https://cache1.pakwheels.com/ad_pictures/1412/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-141247901.jpg,"['https://cache1.pakwheels.com/ad_pictures/1412/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-141247901.jpg', 'https://cache1.pakwheels.com/ad_pictures/1412/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-141247903.jpg', 'https://cache2.pakwheels.com/ad_pictures/1412/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-141247894.jpg', 'https://cache3.pakwheels.com/ad_pictures/1412/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-141247900.jpg', 'https://cache1.pakwheels.com/ad_pictures/1412/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-141247899.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-11333479,Updated 1 minute ago,2026-05-08T15:07:13.403481
11446821,Toyota Hilux  2021 Revo V Automatic 2.8,Toyota,Hilux   Revo V Automatic 2.8,2021,2800cc,120000,PKR 1.2lacs,105000,Diesel,Automatic,Multan,https://cache3.pakwheels.com/ad_pictures/1430/toyota-hilux-revo-v-automatic-2-8-2021-143001046.jpg,"['https://cache3.pakwheels.com/ad_pictures/1430/toyota-hilux-revo-v-automatic-2-8-2021-143001046.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/toyota-hilux-revo-v-automatic-2-8-2021-143001049.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/toyota-hilux-revo-v-automatic-2-8-2021-143001040.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/toyota-hilux-revo-v-automatic-2-8-2021-143001038.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/toyota-hilux-revo-v-automatic-2-8-2021-143001032.jpg']",https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-multan-11446821,Updated 1 minute ago,2026-05-08T15:07:13.404405
11448430,Toyota Vitz  2014 F 1.0,Toyota,Vitz   F 1.0,2014,1000cc,2750000,PKR 27.5lacs,110258,Petrol,Automatic,Karachi,https://cache4.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-2014-143027390.jpg,"['https://cache4.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-2014-143027390.jpg', 'https://cache1.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-2014-143027394.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-2014-143027405.jpg', 'https://cache4.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-2014-143027395.jpg', 'https://cache4.pakwheels.com/ad_pictures/1430/toyota-vitz-1-0-f-2014-143027401.jpg']",https://www.pakwheels.com/used-cars/toyota-vitz-2014-for-sale-in-karachi-11448430,Updated 1 minute ago,2026-05-08T15:07:13.405378
11059711,Toyota Corolla 9th (E120) Generation 2005 GLi 1.3,Toyota,Corolla 9th (E120) Generation  GLi 1.3,2005,1300cc,2000000,PKR 20lacs,170000,Petrol,Manual,Lahore,https://cache4.pakwheels.com/ad_pictures/1368/toyota-corolla-gli-2-2005-136851551.jpg,"['https://cache4.pakwheels.com/ad_pictures/1368/toyota-corolla-gli-2-2005-136851551.jpg', 'https://cache2.pakwheels.com/ad_pictures/1368/toyota-corolla-gli-2-2005-136851546.jpg', 'https://cache4.pakwheels.com/ad_pictures/1368/toyota-corolla-gli-2-2005-136851539.jpg', 'https://cache2.pakwheels.com/ad_pictures/1368/toyota-corolla-gli-2-2005-136851557.jpg', 'https://cache3.pakwheels.com/ad_pictures/1368/toyota-corolla-gli-2-2005-136851536.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2005-for-sale-in-lahore-11059711,Updated 2 minutes ago,2026-05-08T15:07:13.406395
11374428,Suzuki Cultus  2005 VXR,Suzuki,Cultus   VXR,2005,1000cc,800000,PKR 8lacs,74221,Petrol,Manual,Lahore,https://cache1.pakwheels.com/ad_pictures/1430/suzuki-cultus-vxr-2005-143090464.jpg,"['https://cache1.pakwheels.com/ad_pictures/1430/suzuki-cultus-vxr-2005-143090464.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/suzuki-cultus-vxr-2005-143090489.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/suzuki-cultus-vxr-2005-143090486.jpg', 'https://cache2.pakwheels.com/ad_pictures/1430/suzuki-cultus-vxr-2005-143090484.jpg', 'https://cache3.pakwheels.com/ad_pictures/1430/suzuki-cultus-vxr-2005-143090483.jpg']",https://www.pakwheels.com/used-cars/suzuki-cultus-2005-for-sale-in-lahore-11374428,Updated 2 minutes ago,2026-05-08T15:07:13.407510
